degree,data_width,coeff_bit_width,beta,valid,max_ai_plus_bi,derived_delay,implemented_delay,delta2_safe,acc_width_min,p3_vs_p4_max_abs_raw,p3_vs_p4_max_abs_real,p3_final_global_linf_delta,p4_final_global_linf_delta,p3_converged_iter,p4_converged_iter,fixture_dir
4,16,14,0.85,True,0.85467529296875,2,2,True,17,480,0.0146484375,49,0,,6,/home/sy/FPGA/Online_Mul_Add/MSDF_iterative_solver/generated/rtl_vectors/paper_parallel_in_bound_sweep/deg4_data16_beta0p85
4,16,14,0.95,True,0.951507568359375,2,2,True,17,248,0.007568359375,36,0,,5,/home/sy/FPGA/Online_Mul_Add/MSDF_iterative_solver/generated/rtl_vectors/paper_parallel_in_bound_sweep/deg4_data16_beta0p95
4,24,22,0.85,True,0.8546874523162842,2,2,True,25,122400,0.014591217041015625,12606,100,,,/home/sy/FPGA/Online_Mul_Add/MSDF_iterative_solver/generated/rtl_vectors/paper_parallel_in_bound_sweep/deg4_data24_beta0p85
4,24,22,0.95,True,0.9515622854232788,2,2,True,25,63329,0.007549405097961426,9153,72,,,/home/sy/FPGA/Online_Mul_Add/MSDF_iterative_solver/generated/rtl_vectors/paper_parallel_in_bound_sweep/deg4_data24_beta0p95
4,32,30,0.85,True,0.8546874998137355,2,2,True,33,31334310,0.014591175131499767,3227035,25212,,,/home/sy/FPGA/Online_Mul_Add/MSDF_iterative_solver/generated/rtl_vectors/paper_parallel_in_bound_sweep/deg4_data32_beta0p85
4,32,30,0.95,True,0.9515624991618097,2,2,True,33,16212712,0.007549632340669632,2343231,18308,,,/home/sy/FPGA/Online_Mul_Add/MSDF_iterative_solver/generated/rtl_vectors/paper_parallel_in_bound_sweep/deg4_data32_beta0p95
8,16,14,0.85,True,0.85479736328125,2,2,True,17,481,0.014678955078125,50,0,,5,/home/sy/FPGA/Online_Mul_Add/MSDF_iterative_solver/generated/rtl_vectors/paper_parallel_in_bound_sweep/deg8_data16_beta0p85
8,16,14,0.95,True,0.951507568359375,2,2,True,17,252,0.0076904296875,36,0,,4,/home/sy/FPGA/Online_Mul_Add/MSDF_iterative_solver/generated/rtl_vectors/paper_parallel_in_bound_sweep/deg8_data16_beta0p95
8,24,22,0.85,True,0.8546879291534424,2,2,True,25,122400,0.014591217041015625,12606,104,,,/home/sy/FPGA/Online_Mul_Add/MSDF_iterative_solver/generated/rtl_vectors/paper_parallel_in_bound_sweep/deg8_data24_beta0p85
8,24,22,0.95,True,0.9515622854232788,2,2,True,25,63325,0.007548928260803223,9153,72,,,/home/sy/FPGA/Online_Mul_Add/MSDF_iterative_solver/generated/rtl_vectors/paper_parallel_in_bound_sweep/deg8_data24_beta0p95
8,32,30,0.85,True,0.8546875016763806,2,2,True,33,31334311,0.014591175597161055,3227035,25216,,,/home/sy/FPGA/Online_Mul_Add/MSDF_iterative_solver/generated/rtl_vectors/paper_parallel_in_bound_sweep/deg8_data32_beta0p85
8,32,30,0.95,True,0.9515624991618097,2,2,True,33,16212716,0.007549634203314781,2343231,18304,,,/home/sy/FPGA/Online_Mul_Add/MSDF_iterative_solver/generated/rtl_vectors/paper_parallel_in_bound_sweep/deg8_data32_beta0p95
32,16,14,0.85,True,0.85430908203125,2,2,True,17,495,0.015106201171875,49,0,,3,/home/sy/FPGA/Online_Mul_Add/MSDF_iterative_solver/generated/rtl_vectors/paper_parallel_in_bound_sweep/deg32_data16_beta0p85
32,16,14,0.95,True,0.951751708984375,2,2,True,17,261,0.007965087890625,36,0,,2,/home/sy/FPGA/Online_Mul_Add/MSDF_iterative_solver/generated/rtl_vectors/paper_parallel_in_bound_sweep/deg32_data16_beta0p95
32,24,22,0.85,True,0.8546860218048096,2,2,True,25,122399,0.014591097831726074,12606,96,,,/home/sy/FPGA/Online_Mul_Add/MSDF_iterative_solver/generated/rtl_vectors/paper_parallel_in_bound_sweep/deg32_data24_beta0p85
32,24,22,0.95,True,0.9515632390975952,2,2,True,25,63317,0.007547974586486816,9153,64,,,/home/sy/FPGA/Online_Mul_Add/MSDF_iterative_solver/generated/rtl_vectors/paper_parallel_in_bound_sweep/deg32_data24_beta0p95
32,32,30,0.85,True,0.8546874942258,2,2,True,33,31334309,0.01459117466583848,3227035,25216,,,/home/sy/FPGA/Online_Mul_Add/MSDF_iterative_solver/generated/rtl_vectors/paper_parallel_in_bound_sweep/deg32_data32_beta0p85
32,32,30,0.95,True,0.9515625028871,2,2,True,33,16212732,0.007549641653895378,2343231,18304,,,/home/sy/FPGA/Online_Mul_Add/MSDF_iterative_solver/generated/rtl_vectors/paper_parallel_in_bound_sweep/deg32_data32_beta0p95
